id,value
php.phpunit.xdebug.laravel-5.5,17
c++.c++14,22
html.css.css3.css-grid,11
javascript.angular.typescript.dynamic.components,16
akka-stream.project-reactor.reactive-streams,22
c++.c++17,30
javascript.node.js.gruntjs.phantomjs,11
java.java-ee.java-9,21
objective-c.macos.macos-high-sierra.appleevents,17
haskell.traversal.bifunctor,18
c++.language-lawyer.move-semantics.perfect-forwarding.copy-elision,20
spring.mongodb.spring-boot.spring-data-mongodb.capped-collections,11
android.nfc.android-pay,13
android.android-studio.gradle.groovy,12
java.java-7.type-inference.diamond-operator.java-10,25
java.java-8.optional,45
android.android-studio.android-gradle,37
javascript.html.w3c,12
c++.assembly.template-meta-programming.sfinae.c++17,16
haskell.rust.higher-kinded-types.type-theory.parametric-polymorphism,28
javascript.jquery.html.asp.net,12
algorithm.dynamic-programming,39
xamarin.xamarin.forms.xamarin.ios,12
php.json.wordpress.woocommerce,17
c++.compiler-optimization,28
c++.language-lawyer.auto.decltype.c++17,12
arrays.algorithm,12
javascript.github.npm.build.package,13
jquery.ajax.rest,12
javascript.jquery.arrays,16
sql.sql-server.tsql.datetime,11
sql.postgresql.common-table-expression,11
r.shiny.r-faq,17
jupyter-notebook,12
python.pow.sqrt,11
c++.c++11.lambda.c++14.language-lawyer,19
c#..net.vb.net.winforms,21
maven.maven-3.maven-plugin,11
android,13
r.ggplot2.equality,22
ios.iphone.xcode,12
c++.pointers.c++14.language-lawyer.c++17,73
c++.operators.c++20.spaceship-operator,16
sql.string.oracle.literals.string-literals,16
c++.templates.gcc.clang.const,27
r.data.table,12
class.oop.design,19
.net.f#.functional-programming.ocaml,17
cordova.visual-studio-2017.cordova-plugins.tools-for-apache-cordova,11
c#.generics.type-parameter,18
firebase.firebase-security.google-cloud-firestore,11
python.c++.python-3.x.macos.anaconda,14
javascript.node.js.npm.google-cloud-platform.package.json,11
python.list.if-statement,16
php.mysql.laravel.laravel-5.2,11
c++.c++11.language-lawyer.placement-new,14
javascript.angular5,12
java.java-stream,12
c.language-lawyer.undefined-behavior,24
c++,15
unity3d.unity3d-editor,12
android.animation.kotlin.material-design.android-design-library,13
haskell.ghc,18
apache-spark.pyspark.apache-spark-sql.spark-dataframe.pyspark-sql,26
c++,21
python.python-3.x.python-2.7,35
ios.xcode.itunesconnect,20
c++.c++11.object-construction.stdinitializerlist,12
java.casting,16
java.calendar,12
c++.vector.iterator,29
ruby,15
clojure.readline.leiningen.read-eval-print-loop.rlwrap,12
c++.gcc.assembly.x86.clang,12
java.azure.kubernetes.fabric8,12
git.credentials,12
angular,20
html.input.textarea.lang.spelling,12
.net.serialization..net-4.0.code-access-security,56
webpack.webpack-dev-server,11
android.android-studio,12
mysql.sql.datetime,11
android.retrofit2.android-livedata.android-mvvm,11
javascript.node.js.loops.setinterval,19
java.error-handling.runtime-error,11
python.jenkins.windows-10,12
performance.assembly.optimization.x86.micro-optimization,18
reactjs.react-native.react-navigation.react-native-navigation.wixcode,13
c++.pointers.c++17,18
java.android.android-8.0-oreo.android-8.1-oreo,15
python.flask.wtforms,12
c#..net.visual-studio.async-await.code-analysis,31
c++.g++.language-lawyer.clang++.c++17,16
python.ipython.jupyter-notebook.jupyter,12
xcode.ios-simulator,21
haskell.coq.agda.idris.dependent-type,30
java.android.json.firebase.firebase-database,11
java.windows.java-9,22
javascript.google-maps.google-maps-api-3,24
c++.arrays.c++11.vector.undefined-behavior,24
android.firebase.firebase-cloud-messaging,30
javascript.html,13
python.pandas.sparse-matrix.sparse-dataframe,12
c++,21
java.generics.language-lawyer.wildcard.jls,21
python.pandas.views.chained-assignment,18
sql.sql-server,45
python.pandas.dataframe,11
java.compiler-errors.java-9,11
java.language-lawyer.java-9,24
perl6.associativity,13
kotlin,11
git.visual-studio-code.vscode-settings.git-shell,16
javascript.angular.npm.angular-material.angular-material2,13
python.multithreading.python-multithreading,12
android.android-camera.face-detection.android-camera2,12
c#..net.cil.ildasm.ilasm,16
git.git-stash,11
git.git-for-windows,11
c++.scope.lifetime.function-parameter.destruction,13
java.android.react-native,13
string.bash.shell.sed,11
python.code-coverage.cython.coverage.py,16
c++.vector.resize.capacity,22
c++.c.scope.static.shadowing,16
python.pandas.dataframe,12
javascript.mixpanel,26
php.search.sqlite3,13
php.timing-attack,11
java.multithreading.tomcat.spring-boot,15
c++.c++11.inheritance.language-lawyer.template-meta-programming,14
javascript.ecmascript-6,2181
android.gradle,14
python.python-3.x.class.super,14
ios.swift.core-animation.uisearchcontroller,11
python.python-3.x,89
angular.typescript.angular-ui-router,15
r.dataframe.subset,13
c++.language-lawyer.undefined-behavior.ctor-initializer,24
regex.validation.authentication.passwords,12
haskell.idris.dependent-type,11
git,12
r.ggplot2.maps.sf,18
java,160
c#.floating-point,36
java.unicode-normalization,16
c++.templates.inline.template-meta-programming.template-specialization,11
mongodb,11
javascript.reactjs,13
c#.winforms.visual-studio.number-formatting,15
java.variadic-functions.heap-pollution,12
ruby-on-rails.angular.typescript.dependency-injection.webpacker,13
security.assembly.x86.cpu-architecture,178
javascript.reactjs.typescript.autocomplete.draftjs,17
c++.multithreading.c++11,14
ios.continuous-integration.testflight,14
apache-spark.amazon-emr,12
java.if-statement.logic.refactoring.boolean-logic,28
javascript.node.js.reactjs.chart.js,13
webpack.umd,11
django.django-rest-framework,11
git.github,16
google-maps.google-maps-api-3,18
html.r.excel.vba.excel-vba,28
python.arrays.numpy.math.floating-point,16
ruby.syntax-error.operators.associativity,46
angular.angular-httpclient,11
c++.c++17.prvalue.declval.invocable,15
ubuntu.ssl.lets-encrypt,16
ruby-on-rails,21
php.jquery.ajax.curl,12
java.java-9,11
python.multiprocessing,14
ios.objective-c.iphone.xcode,19
angular.angular-material.angular-material2,11
java.lambda.java-8.java-9.peek,52
ruby-on-rails.ruby.postgresql.bundler.rails-migrations,25
c++.templates.language-lawyer.template-meta-programming,21
c++.c.arrays.struct.language-lawyer,24
python.python-3.6,13
c++.c++11.list-initialization,44
c++.return-value.move-semantics.c++17.ref-qualifier,13
c#.haskell.functional-programming.nullable.functor,14
c++.css.linux.webkit.gtk,27
java.static-variables,16
android.animation.drawable.android-progressbar,14
python.postgresql.docker.psycopg2,13
c#.visual-studio.nunit.nunit-3.0,11
java.java-9.graalvm.java-10,13
android.google-play.in-app-purchase.in-app-subscription,12
c++.c++11.stdstring.string-length,26
go,11
c#.linux.macos.cross-platform.sendkeys,12
c.enums,11
c#.sql-server.nhibernate.sql-server-2016,20
c#.type-parameter,18
c++.c++14.c++17,18
html.css.css3.vue.js.flexbox,11
java.linux.spring.java-8.hostname,19
c#.sorting.sortedset,49
php.class.oop.reflection.closures,15
javascript.html.google-chrome.page-refresh,13
android.broadcastreceiver,14
c#..net.nuget.app-config.assembly-binding-redirect,24
c#.static.constants,20
java.concurrency.java-stream,13
java.android.dagger-2.generated-code,11
python.regex.python-3.x,16
r.ggplot2.gis.great-circle.geosphere,11
