id,value
javascript.html,11
c#.logging.encryption.public-key-encryption,14
c#.android.visual-studio.xamarin.xamarin.forms,13
python.pandas.dask,16
c++.struct.volatile,21
jenkins.jenkins-plugins.bitbucket-server,13
c#.f#,12
java.android.location,19
intellij-idea.lombok.intellij-lombok-plugin,38
instagram.instagram-api,35
python.c++,14
c++.gcc.clang.private.encapsulation,37
javascript.html.css.pdf,12
c++.c.gcc.visual-c++,13
java.java-stream.java-10,11
c++.templates.language-lawyer.c++17.template-deduction,14
javascript.html.css,39
excel.vba.excel-vba.printing,13
html.css.mobile,23
c.string.pointers.memory,18
c++.const.language-lawyer.destructor,13
javascript.node.js.angular.ionic-framework.npm,12
deep-learning.caffe.conv-neural-network.imagenet.deep-dream,23
android.cordova.gradle,70
python-2.7.google-chrome.selenium.selenium-webdriver.webdriver,79
android.angular.ionic-framework,12
webpack.webpack-4,15
php.sql-server.linux,17
html.django.django-forms,11
php.curl,18
java.string.kotlin,11
algorithm.data-structures.time-complexity,12
css.css3.google-chrome.firefox,11
javascript.jquery.html.css,16
python.exception-handling.try-catch-finally.finally,73
javascript.dom.mutation-observers,14
python.python-3.x.printing.python-internals,96
java.hibernate.dao,11
java.android.android-studio,11
java.java-stream,12
c++.lambda.language-lawyer.c++17,15
c#.performance.delegates.garbage-collection.closures,40
c++.const.c++17.structured-bindings,15
c.function-pointers,13
javascript.windows.html5.mediastream,11
algorithm.geometry.dynamic-programming.computational-geometry,30
c++.audio.video.ffmpeg.libavformat,12
c#.colors.kinect-sdk.depth.kinect-v2,12
java.string,12
java.android.android-edittext.spannablestring.spannable,14
android.google-play-services.ionic3,19
python.python-2.7.list,12
haskell.ghc,19
c++.for-loop.scope,102
android.android-studio.google-play-services,13
coq.agda.idris.dependent-type.lean,17
android.android-studio.android-studio-3.1,20
android.android-studio.android-studio-3.1,12
c++.c++11.initialization.c++14.const,32
python.list.pandas.pandas-groupby,13
java.arrays.exception.type-inference.java-10,24
css.google-chrome.browser.google-chrome-devtools.repaint,18
java.java-10,17
google-cloud-sql,11
scala.apache-spark.fastutil,12
python.function.python-3.6.ordereddictionary.kwargs,11
ios.swift.xcode.whatsapp.callkit,18
android.gradle.build,12
sql.sql-server,12
python.keras.conv-neural-network.tensorboard.resnet,12
javascript.jquery.html.dom.properties,19
sql.regex.oracle,11
ruby-on-rails.ruby.ransack,11
java.android.udp,11
c++.gcc.language-lawyer.endianness.compiler-flags,20
java.google-oauth2.google-api-java-client,14
algorithm.time-complexity.big-o.asymptotic-complexity,13
java.exception-handling.nullpointerexception,32
c++.arrays.language-lawyer.pointer-arithmetic.ptrdiff-t,31
c++.c++11.standards.rvo.return-value-optimization,12
android.android-edittext.android-nestedscrollview,18
facebook.facebook-graph-api.facebook-opengraph.opengraph,28
c#.performance,14
java.type-inference.local-variables.java-10,26
java.time.java-time.localtime,15
python.python-3.x.numpy.itertools,11
python.tensorflow.deep-learning.keras,12
css.css3.flexbox.centering,17
android.android-studio,13
sql.sql-server.tsql.date.join,12
c++.c++11.stdvector,21
c++.c++11.language-lawyer.chrono,24
javascript.jquery,13
r.plotly.surface.r-plotly,17
c++.integer.language-lawyer.literals,18
c#..net,15
swift.xcode.codable.swift4.1.xcode9.3,22
instagram.instagram-api,21
c++.c++11.language-lawyer.user-defined-literals,13
r.ggplot2.line.mean.boxplot,12
python.orm.sqlalchemy.many-to-many,11
postgresql.heroku.pg-restore,94
java.android.jvm.okhttp,11
linkedin.linkedin-api,29
python.inheritance.properties.mutators,27
java.java-10,11
java.performance.garbage-collection.jvm.jvm-hotspot,13
android.android-studio.apk.signed,11
java.arrays.local-variables.java-10,25
c++.arrays.char,20
sql.sql-server.tsql.sql-server-2016,12
python,11
java.enums,14
c#,12
c++,11
javascript.jquery.html.css,14
java.garbage-collection.jvm.heap-memory.jvm-hotspot,13
android.google-play.stripe-payments.in-app-billing.billing,13
java.spring-boot.jms.activemq,12
converter.finance,12
java.final.class-variables.static-initialization,165
ios.swift.exif,16
c++.c++11.const.variadic-functions,15
java.jquery.ajax.internet-explorer-11.waffle,13
python.string.memory,13
haskell.type-families.injective-function,11
c#..net.security.plugins.permissions,11
javascript.jquery.ajax,14
android.android-studio.android-gradle,64
python.dictionary.mapping,17
android.android-studio.android-studio-3.1,32
android.android-studio.android-studio-3.1,26
arrays.swift.collections.count.associated-types,13
java.kotlin.var.java-10,16
javascript.browser.ads.prebid.js,11
java.java-stream,11
java.classloader.java-9.urlclassloader.java-10,14
c++.c++17,11
c++.visual-studio,11
c++.casting.language-lawyer.static-cast.const-cast,14
c++.templates.pointers.const.pass-by-const-reference,12
android.design.android-canvas.android-drawable,12
python.c++.opencv.computer-vision.imagemagick,12
javascript.async-await.web-worker,13
android.android-intent.kotlin.fragment,12
python.logging.exception-handling.flow-control.try-finally,38
android.android-emulator.emulation.nfc.open-nfc,11
python.matplotlib.pycharm,24
java.solid-principles.ocp,12
html.css.reactjs.animation,13
java.java-8,24
r.ggplot2,11
c++.linker-errors.intel,15
android.tabs.single-page-application.autoscroll,11
c++.language-lawyer.c++17.ternary-operator.implicit-conversion,45
c#.conditional-compilation,68
c++.c++17.c++20.spaceship-operator,14
http.httpresponse,38
python.types.boolean,29
c++.c++17,20
r.pandas.data.table,14
android.cordova.geolocation.cordova-plugins,14
python.celery,11
azure.machine-learning.analytics.azure-machine-learning,11
perl.browser-automation,18
c++.initialization.c++14.atomic.list-initialization,14
spring.postgresql.websocket.rx-java.spring-webflux,12
c++.c++17,30
java.type-inference.java-10,15
python.pandas.multiprocessing.threadpool.python-multiprocessing,15
node.js.mongodb.async-await,11
java.javapackager,11
c.linux-kernel.macros.language-lawyer,30
java.string.emoji,160
android.android-studio.gradle.android-gradle,56
android.android-studio.rx-java2.lint.android-studio-3.1,13
android.android-studio.intellij-idea.android-resources.android-studio-3.1,15
c#.arrays.string.list,12
java.lambda.java-10,45
